english,korean
Aptitude,적성
"Have a view of, observe",전망하다
Collectively (of people),집단적
A point of difference,차이점
Cold water,찬물
Railroad,철도
"A bachelor, an unmarried man",총각
Campaign,캠페인
Typhoon,태풍
"A look, glampse, look",한눈
"Sunbeams, sunlight",햇볕
"A flood, inundation",홍수
A drought,가뭄
Indirectness,간접
With great strengh or or might,강력히
To be renovated or to get improved,개선되다
Speak to a person or address,건네다
A crab,게
Determination or resolution,결심
Directly or straightforwardly ; to do something straight away,곧장
The teaching profession,교직
To arrest or restrain,구속하다
To be precious,귀중하다
Scratch or scrape,긁다
To restrain or prohibit,금지하다
Technician,기사
A hostel or residence hall,기숙사
Tree leaves,나뭇잎
Exhale,내쉬다
Get wider,넓어지다
Be lengthened,늘어지다
Independence,단독
"An instance, case",마당
As much as you want,마음껏
Be driven into,몰려들다
Meeting,미팅
Bar,바
Wheel,바퀴
Footprint,발자국
Spit,뱉다
"Widen, get wider",벌어지다
Bonus,보너스
"A walk,stroll",산책
"animation,life",생기
"books,publications",서적
Digestion,소화
A student preparing for an examination,수험생
"To be noisy,boisterous",시끄럽다
The new generation,신세대
"(1) To fix on a person, lay the blame on a person",안기다
,"(2) to throw onto sb, to pass onto sb, to pawn off onto sb, to hand over to sb"
"Run counter to, go against",어기다
What do you think?,어때
Elevator,엘리베이터
Researcher,연구원
"Love, tender, passion",연애
Consecutive holidays,연휴
"summary,condense,abridge",요약하다
To do exercise,운동하다
Monday,월요일
A satellite,위성
"unexpectedly,surprisingly",의외로
A maternal aunt,이모
Suicide,자살
Presentation,제시
To be excluded,제외되다
Nephew,조카
An address,주소
"Get sealed, stamped",찍히다
Steel,철
"Employment, getting a job",취직
"depravity,corruption,degradation",타락
"Currency, the unit of circulation",통화
No mistaking it,틀림없이
Party,파티
An assembly hall,회관
Plan or make a project,계획하다
Auditorium,공연장
Nationality or citizenship,국적
Of late or recently,근래
Divide,나뉘다
A word,낱말
"Men and woman, husband and wife",내외
A pot,냄비
Wolf,늑대
Stand in a row,늘어서다
"To be affectionate, warm-hearted",다정하다
to be sweet,달다
"Run, rush, jump at",달려들다
Telescope,망원경
"model,example",모범
Be impossible,무리하다
Be fastened together,묶이다
"Interrupt, interfere",방해하다
Snake,뱀
Set (of clothes),벌
Contraction of 보이다,뵈다
"The upper classes,upstream",상류
Three (in 3 months),석
"To be clear,distinct",선명하다
To prefer,선호하다
Successfully,성공적
Small scale,소규모
"On demand, per the demand of the occasion ; all the time, at any time",수시로
Visual field,시야
"To realize,bring to fruition",실현되다
"No, that’s not the case",아니야
Before one knows it,어느덧
"Go up and down, rise and fall",오르내리다
Prince,왕자
"to be superior,excellent",우수하다
"fame,celebrity status",유명
A similar type,유형
"customarily,habitually",으레
"Daily, of the everyday things",일상적
"One by one, individually",일일이
To major in something,전공하다
"sequence,order,front and rear",전후
"normalcy,normality",정상
"normal,like usual",정상적
Qualitative,질적
To appear or look as,척
Season (the 4),철
To clean,청소하다
Shocking,충격적
A tooth,치아
"Convenience, expediency",편의
"Abolition, to not use, to do away with",폐지
"Explanation, elucidation",해설
"Old, shabby, worn-out",헌
Black and white,흑백
A sacrifice,희생
Get closer,가까워지다
To thank,감사하다
A robber or burglar,강도
Expenses or outlay,경비
Economic power,경제력
1) suppress or restraint 2) abstain from or restrain from,금하다
To be expected,기대되다
Deep or far,깊숙이
Honey or nectar,꿀
Throw down,넘어뜨리다
To do farming,농사짓다
"Be hard, solid",단단하다
Person in charge,담당자
An answer,답변
"Provision, preparation",대비
"An outline, summary",대체
More and more and more,더욱더
The heart of the city,도심
"Rubbing, chafing",마찰
a company logo,마크
Satisfaction,만족
Ruin,망치다
Menu,메뉴
Money raising,모금
Description,묘사
Cultural,문화적
"Have smeared,be covered with",묻히다
Unmarried,미혼
"Be advanced, prospering",발전되다
Broadcasting company,방송사
"To prevent, check",방지하다
A written resignation,사표
"Be discreet,take care of ; to abstain (refrain) o.s. from doing",삼가다
A live broadcast,생방송
The third,셋째
"carelessly,indifferently,neglectfully",소홀히
Hand and foot; the limbs,손발
Twins,쌍둥이
To lead the way,안내하다
To place a person in a set,앉히다
Below zero,영하
"The side, the flank",옆구리
A diplomat,외교관
"A foreign language; sometimes, only means English",외국어
"To be just only barely passable, fairly good",웬만하다
"To be in fashion, to be popular",유행하다
Ugh!,으응
Subsequently,이어서
Black chinese noodles,자장면
Midnight,자정
"synthesize,integrate",종합하다
Middle school student,중학생
"Squeeze, press out",짜다
"At the point of, when",참
House counter,채
"The last, the end, the conclusion",최후
"Selection, picking out of news articles (by a reporter)",취재
Terror,테러
A debating society/contest,토론회
A drink of liquor,한잔
A pocket,호주머니
"A day off of work, a holiday",휴일
Poor,가난
The skin or hide or leather,가죽
Without any relation,관계없이
A county or district,군
Crawl or creep,기다
A quarrel,다툼
A calendar,달력
One piece,대
Broad daylight,대낮
Take with,데려가다
Porcelain,도자기
"One and all, wholly",모조리
"Change, alteration",변경
Diligently,부지런히
Deer,사슴
"An uncle (usually on the father\’s side)(외삼촌 a brother of the wife, an uncle on the mother\’s side)",삼촌
plenty/a lot of,상당수
Picnic,소풍
Underwear,속옷
The wrist,손목
Loss,손실
"Secretly, on the sly, stealthily",슬쩍
Scenario,시나리오
Newspaper paper,신문지
To one’s satisfaction,실컷
"To make a concession, recede",양보하다
Engine,엔진
A dragon,용
"movement,revolution",운행
As it is,이대로
Human nature,인간성
Impressive,인상적
To grow up,자라나다
"exhibition,display",전시
"Be tiny,small",조그마하다
Parking lot,주차장
Residing in korea,주한
Middle-aged,중년
"To fade away, come off",지다
"drugs,sediments,remnants (tea grounds)",찌꺼기
To dance,춤추다
Tennis,테니스
A fly,파리
Poster,포스터
"inclusion,comprehension",포함
Related to the form,형식적
To regret,후회하다
Guide,가이드
Join,가입하다
Decrease or dimunition,감소
Flat or even,고르다
Freeway or highway with no street lights,고속도로
Notebook for taking notes and studying,공책
To be put into sections,구분되다
Purchase or buying,구입
Contribution or service,기여
Taste or likes,기호
Pack up or bundle up,꾸리다
Waste,낭비
The interior and exterior,내외
"an outline, summary (2) generally, on the whole",대략
Be covered,덮이다
On the contrary,도리어
"stylish,tasteful",멋있다
Anchovy,멸치
"A wish, hope",바람
Ankle,발목
It is late at night,밤늦다
A drop,방울
Pear,배
A bee,벌
"custody,deposit",보관
Take care of,보살피다
"to supplement and make complete, to complement sth",보완하다
"preserve,conserve",보존하다
"sip,suck",빨다
"exclude,leave out",빼놓다
In history,사상
"adolescence,puberty",사춘기
"The first,upper half",상반기
A bookstore,서점
Propaganda,선전
"found,establish",설립하다
Collection,수집
An essay,수필
"To be novel,original",신기하다
Mystery,신비
A new theory,신설
Actual feeling,실감
Disappointment,실망
Stroke one’s beard,쓰다듬다
Aluminum,알루미늄
"acknowledge,recognize, appreciate",알아주다
A sock,양말
Fox,여우
Holy cow!,와
"Going out, an outing",외출
"A container, a vessel",용기
Waiter,웨이터
"To induce, bring about, cause",유발하다
"To be maintained, preserved",유지되다
For personal/family use,자가용
Pull,잡아당기다
"inspection,examination",점검
Garden,정원
"An early stage,period",조기
Respect,존경하다
A bell,종
The sound of a bell,종소리
The second 10 days in a month,중순
"perception,consciousness",지각
A straight line,직선
A melon,참외
"pretend,feign",체하다
"To experience, to undergo",체험하다
To invide,초대하다
A gun,총
To praise somebody,칭찬하다
Coach,코치
"To unify, consolidate",통일하다
Fashion,패션
Printer,프린터
PD – a newspaper article,피디
Each individual piece,하나하나
Academic rank,학위
"Doubt, skepticism",회의
A street light,가로등
Feelings,감
Individuals or every person,개개인
1) Roll back /up one’s sleeves 2)fold or furl up 3) finish work,걷다
Persistence or stubborness,고집
Gold,금
Be rapid or sudden,급격히
Ability or capacity or skill,기능
Be at a loss for words,기막히다
To become divided,나누어지다
Fallen dead leaves,낙엽
Hand over,넘겨주다
Logical,논리적
"Step up, go near to, come closer",다가서다
Be ready for the opportunity,대기하다
Treatment,대접
"Roll up, convolve",말다
The other side of THIS IS ONE WORD,맞은편
Smartness,멋
Cotton,면
Staying the night,박
Night sky,밤하늘
"Explanation, vindication",변명
A diver,보자기
"A wound,injury",부상
"To separate, break away from",분리하다
"catch,seize,grasp",붙들다
"buy,purchase",사들이다
Without anything to do with,상관없이
"lobster,shrimp",새우
"A crew, a ship’s company",선원
Diarrhea,설사
To disappoint,실망하다
Become deep and serious,심해지다
Wrestling,씨름
Sense of missing,아쉬움
"The road ahead, outlook",앞길
To become weak,약해지다
Last night,어젯밤
"A mess, in bad shape",엉망
"A hotel, an inn",여관
"Tell a superior, inform",여쭈다
"To practice,exercise",연습하다
"Produce, present (a play)",연출하다
"Enthusiasm, zeal",열중하다
"A hero, a great man",영웅
"Oh, ah!",오
"An inheritence, property left behind",유산
Purposefully,의도적
From time to time,이따금
An expectant mother,임신부
Long-term,장기적
"ability,talent",재주
"A tradition, a legend",전설
"clause,paragraph",절
The breasts,젖
"To tease, urge sb",조르다
"To order, to request",주문하다
"A shot, an injection",주사
"To be tedious,tiring",지겹다
"guess,conjecture",짐작
Chase away ; to fire from your job,쫓겨나다
"Tear, rend, split",찢다
Channel,채널
To go to work,출근하다
"To cancel, calloff",취소하다
"Employment, finding a job",취업
"Paint, coat",칠하다
"Blaze, light up",타오르다
"(1) With a bang, with a snap (2) widely",탁
A criticism,평
To be peaceful,평화롭다
"A sign,signal",표시
"A sign, signal",표시
The second half of the year,하반기
"A corner, a nook",한구석
"Limit, restrict",한하다
"A solution to a problem, an answer to a question",해답
"To be dissolved, disorganized",해소하다
"Consent, agree to",허락하다
"establish,settle,fix",확립하다
To be confident of,확신하다
"excitement,excitation",흥분
be/grow excited,흥분하다
To be not strong enough to do,힘겹다
Receptivity or susceptibility,감수성
Help or assist or lend,거들다
The opposite side,건너편
A scene or scenery,경치
Rapidly or swiftly,급속히
Surge or sudden rapid increase,급증하다
Be sleek and smart,깔끔하다
"very careful or meticulous, doing it in a very detailed manner",꼼꼼하다
Become lower,낮아지다
Simplicity,단순
an ambassador,대사
Two or three (months),두세
"whip,rod,cane",매
Make one’s living,먹고살다
Stop,멎다
An interview,면담
Collection,모집
Corner,모퉁이
Basket,바구니
Completely,바싹
Be developed,발달되다
Pronunciation,발음
A bell,방울
"15days,the 15th day",보름
Bag,봉지
Be bumped into,부딪히다
Emergency,비상
Secretary,비서
"Shake off, refuse",뿌리치다
Businessman,사업자
The other party,상대편
Set,세트
"desire,wish,hope",소망
Passively,수동적
A glass for alcohol,술잔
Furtively,슬그머니
Mayor,시장
Popularity rating,시청률
Newspaper company,신문사
A woman soldier,여군
A sweetheart,연인
"Extension, prolongation",연장
Ten days,열흘
A preliminary match/election,예선
Corn,옥수수
A circle,원
A ginko tree,은행나무
The neighbor’s house,이웃집
Pride,자부심
"In the future, someday",장차
Boring,재미없다
"That side,direction",저편
Psychiatry,정신과
Systematic,제도적
"regulation,adjustment",조절
"residing,dwelling",주거
Juice,주스
To be ready,준비되다
"To be suspended,stopped",중단되다
Attach great importance to,중요시하다
Branch store,지점
To diagnose,진단하다
Cola,콜라
"Get, receive, take your share of the money (회사에서 월급을 타다)",타다
"A prejudice, a bias",편견
Plastic,플라스틱
The exchange rate (money),환율
"Vigor, life, vitality",활기
Instructor or teacher,강사
How much rainfall,강수량
Alternation or change,교대
A ward or district office,구청
The inside and outside of a country or home and abroad,국내외
To be forbidden or prohibited,금지되다
To pray,기도하다
To be already existing or established,기성08
To break or crush,깨뜨리다
Cannot move,꼼짝
Male student,남학생
Farming,농사일
"A farm, plantation",농장
Date,데이트
Mental attitude,마음가짐
Hair,머리칼
"A certain person, mr. Jones",모
Cockroach,바퀴
Lightning,번개
To be changed,변화되다
"envy,be envious of",부러워하다
Absence,부재
Death,사망
"1) raw,uncooked 2)living",생
"Be cool,refreshing",서늘하다
The Bible,성경
Be needed,소요되다
To digest,소화하다
"instanteous,momentary",순간적
To take a husband,시집가다
City hall,시청
To come to want,싶어지다
Put a hat on somebody,씌우다
The night time,야간
"Cross, miss eachother",엇갈리다
"Be thin, light",엷다
Entertainment,오락
The right hand,오른손
"To be elegant,refined",우아하다
"This and that, one thing and another",이것저것
"Dew, dewdrops",이슬
Human relations,인간관계
For a long period,장기간
"A writer,author",저자
The battle line,전선
"stop,an interruption",정지
Make a suggestion,제의하다
"lighting,illumination",조명
"harmony,agreement",조화되다
"A stalk, a stem",줄거리
"interruption,suspension",중단
A traffic lane,차선
"To misunderstand, to deceive oneself, to be having illucinations",착각하다
"A portrait, a picture",초상화
A business trip,출장
Coup d’etat (overthrow of the government),쿠데타
"Leaving one’s office, coming home from work",퇴근
"Particularity, distinctiveness",특수성
An aircraft,항공기
"briskly,actively",활발히
"Conversations, talk",회화
To be interesting,흥미롭다
Take something to someone,가져다주다
Readiness or preparation,각오
To be opened,개방되다
Mustard,겨자
To warn,경고하다
Economics,경제학
Golf,골프
A matter of concern and interest,관심사
To be separated andistinguished,구별되다
The history of a country,국사
Harden or make hard,굳히다
Returning to one’s home country,귀국
The while or during tha time,그간
Be plausible or specious or likely,그럴듯하다
A dramatist,극작가
A flag or a banner,기23
To tilt or lean,기울다
A miracle,기적
To be drawn or pulled or dragged,끌리다
"Let out, let go out",내보내다
"A wall, fence",담
Feel warm,따스하다
One’s way of talking,말투
Directive,명령어
A bathhouse,목욕탕
Slippery,미끄러지다
Sea water,바닷물
"Disguise, transformation",변신
A father,부친
Be caught,붙잡히다
Brand,브랜드
Wash the laundry,빨다
Office work,사무
"Be trifling,insignificant",사소하다
"A table,small desk",상
"Be refreshing,exhilirating",상쾌하다
"A family name,surname",성
An outstretched hand,손길
"order,ranking",순위
To eat a meal,식사하다
"A pair,couple",쌍
"chilly,feel cold",썰렁하다
"A hint, suggestion",암시
"The futre, the days ahead",앞날
In history,역사상
A musical performance,연주
"To be melancholy, gloomy",우울하다
A post office,우체국
To make (a baby) cry,울리다
"On land, on the ground",육상
Drinking (alcohol),음주
"Parting, separation; divorce",이별
A man of ability,인재
A human race,인종
Of a day,일시적
"interesting,fun",재밌다
Of a specialist nature,전문적
Youth,젊음
"To be dignified,well-bred",점잖다
"shellfish,clam",조개
To sleep (respectful word),주무시다
"A relay, a hookup",중계방송
Poison,중독
"supply,pay",지급
"Be true, truthful",진실하다
car/train window,차창
To invite,초청하다
The starting point of a trip,출발점
"Publication, publishing",출판
"Appearance, turning out",출현하다
Club,클럽
Kiss,키스
"To escape, get away from",탈출하다
A judge,판사
"Consent, assent, approval",허락
"Conviction, firm belief",확신
Cloudy (weather),흐리다
Anxious or uneasy,걱정스럽다
To become constructed,건설되다
the peak or crest (of a hill),고개
Hungry or famished,고프다
For the first time or not … until,그제야
Prohibition of smoking,금연
Old people,기성세대
To describe or give an account of,기술하다
Magpie,까치
In a dream,꿈속
Butterfly,나비
North and south,남북
"To convince, persuade oneself",납득하다
A grade or class,단
Embassy,대사관
Original,독창적
Perfect score,만점
Every month,매달
"gather,flock",모여들다
Get old,묵다
The outside,바깥쪽
To be hungry,배고프다
Mushroom,버섯
Conservation,보수
Preservation of the public peace,보안
See (polite),뵈다
"assistant,deputy",부
"Laugh at, ridicule",비웃다
Move aside,비키다
"A man, a male",사나이
Older more respected ajuma,사모님
Three,삼
"symbolic,emblematic",상징적
"Be different,novel",색다르다
Seminar,세미나
"detergent,cleaning material",세제
Whisper,속삭이다
"time,days",시일
"A contest,match",시합
"Be quick,rapid,speedy",신속하다
A new product,신제품
"To be prudent,cautious",신중하다
"Very much,greatly",썩
"A female,a she (opp. 수컷)",암컷
To travel,여행하다
"Warn, give advance notice",예고하다
To violate (the law),위반하다
The upper body,윗몸
"To be distant,faint,indistinct",은은하다
Mutual understanding,이해관계
"cook,boil",익히다
One great/large,일대
Power input,입력
Natural phenomena,자연현상
"stop,a station,bus-stop",정류장
Feel distracted and scatter-brained,정신없이
"honesty,uprightness",정직하다
"To regulate,adjust,coordinate",조정하다
Wrinkles,주름
"importance,consequence",중요
Champion,챔피언
"Newest, the latest",최신
"Congratulation, celebration",축하
"Cancellation, anulment",취소
Character,캐릭터
Curtain,커튼
"A fan, an enthusiast",팬
"To be harmful, injurious",해롭다
The front door,현관문
To become lively,활발해지다
To be recovered,회복되다
To sacrifice,희생하다
To become possible,가능해지다
The winter season,겨울철
Red pepper paste,고추장
Golf course,골프장
Futile or vain or useless,공연히
A course or curriculum,과정
Noodles,국수
International,국제적
1) a root 2) stubble,그루
Former days or the past,그전
A safe or strongbox,금고
"Scolding, a rebuke",꾸중
To draw near,끌어당기다
A meal or a repast,끼
"Activity ; voluntary, of its own nature (opp. 수동적)",능동적
Moonlight,달빛
For the present,당분간
Helping words,도움말
The back side of a mountain,뒷산
To be content,만족하다
Spicy,맵다
Put on one’s shoulder,메다
Come in crowds,몰려오다
Material,물질적
A beautiful girl,미인
Become believable,믿어지다
Kneading; dough,반죽
Ring,반지
Chestnut,밤
Arrangement,배치
Caucasian,백인
An example,본
Main office,본사
To be full,부르다
Inequality,불평등하다
Vitamin,비타민
Building,빌딩
"Throw into (a river); entice, entrap",빠뜨리다
The heart of a mountain,산속
"newly,afresh",새로이
A Westerner,서양인
one’s things,소지품
"A bunch,cluster",송이
Iron,쇠
A male of the species,수컷
To win,승리하다
Vinegar,식초
Errand,심부름
Seeds,씨앗
"The fields, the outskirts",야외
Go about begging,얻어먹다
"Seriousness, solemnity ; being grave, serious",엄숙하다
"leisure,spare time",여가
Younger sister,여동생
Association of ideas,연상하다
The house next door,옆집
After a long time,오래간만
"For long, a long while",오래도록
Look up,올려다보다
To repeat back (an order),외다
"A shout, a cry",외침
A tooth,이빨
"interests,gains",이해
Work in hand,일손
Jumper,잠바
Submarine,잠수함
"A tradesman,merchant",장수
Scholarship,장학금
"measure,guage",재다
That kid,쟤
Lunchtime,점심시간
"To lead, instruct",지도하다
"Intellectual, brainy",지적
"A course,direction,path",진로
Leader of the performance,진행자
"A side, direction",쪽
To go around to meet somebody or see places,찾아다니다
Feeling of responsibility,책임감
Body temperature,체온
Japanese vinegared rice vegetables,초밥
An exit,출구
Door for exiting and entering,출입문
Passage,통과
A wheeled snack bar on the street,포장마차
"Dip out, bail out",푸다
Glue (spread the ~),풀
A pimento,피망
Film,필름
"Stands out conspicuously, especially",한결
"Midsummer, the middle of summer",한여름
An airport,항공
The track number for a train,호선
"Revolution, rotation",회전
Toilet paper,휴지
Scissors,가위
High speed,고속
Be straight or upright or erect,곧다
Worry or anxiety,골치
Rescue a person,구하다
Next month,내달
Fourth,넷째
"Leave as it is, let it be",놔두다
To become late,늦어지다
"Make a go for it, escape",도망가다
Be poison,독하다
To be of sufficient quantity,만
List of names,명단
Be nonsense,무의미하다
"passage,paragraph",문구
What (thing)?,뭣
"under,below ; less than",미만
White,백색
Rain and wind,비바람
"morale,fighting spirit",사기
"To decease,pass away",사망하다
Working in the office not in the factory,사무직
"temperament,character",소질
Cotton,솜
Cd-rom,시디롬
Dietary life,식생활
"Signal light, blinker",신호등
the honeymoon (the trip after the wedding),신혼여행
Thread (to wind thread),실
"Be brave,valiant",씩씩하다
A laboratory,연구실
World cup,월드컵
Humor,유머
"Clothes, dresses; clothing",의류
Hospitalization,입원
To become forgotten,잊혀지다
"To be affluent, well-off",잘살다
To get married,장가
Adaptation,적응
To be adjusted,정리되다
"A company,group",조
A graduate,졸업생
Lose your spirit,죽다
To be ashamed,창피하다
"Kindness, goodness",친절
Bedroom,침실
Tae kwon do,태권도
"To debate, discuss",토론하다
Each individual piece,하나하나
"Harmonize with, be in accord with",합하다
Handbag,핸드백
Hamburger,햄버거
Private tutor,가정교사
Thanks,감사
Commonly,공통적
An educator,교육자
Teaching material or insruction materials,교재
Guitar,기타
To become long,길어지다
Powdered sesame mixed with salt,깨소금
To become worse,나빠지다
A man,남
"Leave as it is, let it be",놓아두다
Treatment,대접하다
The rose of Sharon,무궁화
Virus,바이러스
room’s floor,방바닥
Be troublesome. 할 일이 많아서 아주 바쁘다,번거롭다
"Hunting, a hunt",사냥
Social life,사회생활
Dishwashing,설거지
Several years,수년
To export,수출하다
one’s address,숙소
Supermarket,슈퍼마켓
Psychological,심리적
"postponement,deferment",연기
"consolation,solace",위로
A user; visitor,이용자
To input (data into the computer),입력하다
A qualification certificate,자격증
Medical examination and treatment,진료
"Next to a window, or, the window’s edge",창가
"Be impatient, irritated",초조하다
"Put in, mix, dissolve",타다
To drink a glass of liquor,한잔하다
"To do it together, with somebody",함께하다
To pass an exam,합격하다
Soft paper used when applying makeup,화장지
With all one’s might,힘껏
A song,가요
Appreciation,감상
Free,공짜
To be common,공통되다
Be about the same or be neither better nor worse,그만하다
"Going out, an outing ; making a short visit to sb or somewhere",나들이
"Melt, dissolve",녹이다
The eye rims,눈가
Escape,도망
A mosquito,모기
Mini,미니
Direction,방면
Legal,법적
Bench,벤치
"mending,repair",보수
"business,errand,engagement",볼일
"shame,disgrace",부끄러움
Soap,비누
An irregularity,비행
Great streaks of rain,빗줄기
Social science,사회학
Sexual,성적
Hand-washing,세수
"To be naive,pure",순진하다
Sweater,스웨터
to be bored,심심하다
To become difficult,어려워지다
Travel agency,여행사
Stand up,올라서다
The right hand,왼손
A foreign student,유학생
Silver,은
A spot at a table,자리
To be handsome,잘생기다
A handicapped person,장애인
A recycled product,재활용품
Like that,저러다
That place,저리
To economize,절약하다
"Direct opposition, the exact reverse",정반대
"vibration,shake",진동
A pot stew,찌개
A recommendation,추천
"A unit, a point, a credit",학점
"To be free, not busy",한가하다
Success in an examination,합격
To welcome,환영하다
Indirect or mediate,간접적
Renew or substitute ; same as 바꾸다,갈다
To manage or adminster,경영하다
Yearning or affection,그리움
The while or the meantime,그사이
Commemorate,기념하다
A prayer,기도
A street,길거리
A petal,꽃잎
Necktie,넥타이
General principles,대강
To become independent,독립하다
Outside the door,문밖
Broadcast,방송하다
"replenish,replace,fillup",보충하다
To be imerfect,불완전하다
Dissatisfaction,불평
"Be congested,crowded ; to be full of",붐비다
Life environment,생활환경
"signing,autographing",서명
The back of the hand,손등
The study of history,역사학
"Really, totally",영
Duck,오리
"A chef, a cook",요리사
Goodness! Gracious!,원
"An application, a written request",원서
A month,월
Theoretical,이론적
These days,이제야
To be pregnant,임신하다
To enter a hospital,입원하다
"A trace,vestige",자취
To lock,잠그다
"eat,drink",잡수시다
A toy,장난감
A funeral,장례
Electric rice cooker,전기밥솥
"So far, till now",지금껏
A shortcut,지름길
Earthquake,지진
Persons present,참석자
A window,창구
"The lowest, the minimum/lowest price",최저
Comedy,코미디
"To fry; splash, splatter",튀기다
"necessary,indispensable",필수
Yawning,하품
Korean (language),한국말
"The number of times, the frequency",횟수
"Be muddy, cloudy ; with a tint of",흐리다
Possibility,가능
Cheap or low-priced,값싸다
An egg,계란
A school gate,교문
Boxing or K1,권투
Feeling of tension,긴장감
"1) Steam 2) scent, aroma",김
4,넷
"Bind up, hang: 묶어서 드리우거나 걸다.",매달다
Every week,매주
Become a problem,문제되다
"Support, prop",받침
North,북
"disadvantage,drawback",불이익
To be unnecessary,불필요하다
Obstetrics and gynecology,산부인과
Sit up all night,새우다
To sign,서명하다
"way,method",수
To work hard,수고하다
Pursuit of knowledge,수학
"A holy father,priest",신부
To be useless,쓸데없다
"No, nay",아뇨
"The lower part, the bottom",아래쪽
Asphalt,아스팔트
Dear me! Goodness!,아하
Alcohol,알코올
Accessory,액세서리
Air conditioner,에어컨
"To worry, be anxious about",염려하다
Cucumber,오이
An uncle on one’s mother’s side,외삼촌
Right near at hand,요
The sound of laughing,웃음소리
The upper direction,위쪽
Drinking water,음료수
"printing,typography",인쇄
Lawn,잔디
renting with a big downpayment and not paying month to month,전세
Jogging,조깅
An invitation,초대
"(a storm, strong wind, rain, lightning) to strike, hit",치다
Campus,캠퍼스
Tunnel,터널
Counters for letters,통
Retirement grants,퇴직금
one’s 60th anniversary,환갑
Remain still or motionless,가만있다
Simplicity or convenience,간편하다
Sensational,감동적
To come across to this side of something,건너오다
Tourist area,관광지
School uniform,교복
A Korean living abroad,교포
To return home,귀가하다
Fly about,날아다니다
"Disposition, nature",마음씨
"Just, full",만
Memo,메모
In the tens,몇십
one’s figure,몸매
Body weight,몸무게
"Indifference, unconcern",무관심
"Shine, glitter",반짝이다
Delivery,배달
Translation,번역
Wife,부인
"Be busy,crowded",분주하다
Plastic bag,비닐봉지
Critical,비판적
Straight,뺏다
Dictionary,사전
A drawer,서랍
A sudden rain shower,소나기
"seriously,with care",소중히
"A handle,knob",손잡이
"A faucet,tap",수도꼭지
"rudeness,impolite",실례
"cheap,inferior (a bargain)",싸구려
hello/goodbye,안녕
To refuse to accept,안되다
Pharmacy,약국
"extremely,quite,awfully",어찌나
"Fake, sham",엉터리
"Tender, soft, mild",연하다
A monkey,원숭이
"illegality,a breach of the law",위법
"Corporeal, of the flesh",육체적
The lunar calendar,음력
Divorce,이혼
For one time use,일회용
"lawn,grass",잔디밭
"“hey,look here,now”",저기
Specialty job,전문직
Telephone receiver,전화기
"presentation,submission",제출
Last week,지난주
Azalea,진달래
"A portion, a side",쪽
"chop,hack",찌다
one’s second eldest son,차남
"marking,grading,scoring",채점
"Self-possession, composure",침착하다
To be pitch-black,캄캄하다
A typewriter,타자기
Panties (male and female underwear),팬티
"Easily, comfortably",편히
Point,포인트
Fork,포크
Midnight,한밤중
Filial piety,효도
Furniture,가구
Nurse,간호사
A forsythia or a golden-bell tree,개나리
High school student,고등학생
An alley,골목길
Returning home,귀가
Yearn or be attached to,그리워하다
To memorize,기억나다
Coughing,기침
A singing voice,노랫소리
5,다섯
Chicken meat for eating,닭고기
University professor,대학교수
Daughter,딸아이
Satisfied,만족스럽다
Hatred,미움
A gourd dipper,바가지
On tiptoes,발끝
The navel,배꼽
An infirmary,병실
"serve,render service",봉사하다
An airfield,비행장
Lovely,사랑스럽다
A spoon,숟가락
A bottle of alcohol,술병
"moisture,humidity",습기
Be writted,쓰이다
A postcard,엽서
"forecast,predict",예보
A day of the week not the weekend,요일
"A bathroom,a bath",욕실
"To be brave, courageous",용감하다
The driver,운전기사
"riskiness,jeapordy",위험성
"Get familiar with, experienced with",익다
One,일
The rainy spell in the summer,장마
"To be in school, be attending school",재학
a biography,전기
To display,전시하다
"fixed,regular (time sth)",정기적
Of religions,종교적
Subjective,주관적
A worker,직장인
"The whole heart, sincerity",진심
Ask a person a question,질문하다
To become short,짧아지다
To put on weight,찌다
Bookbag,책가방
Heaven,천국
Toothpaste,치약
A deep bow,큰절
A department in a college,학과
"repentance,regret",후회
Emphasis or stress,강조
A notice board or a bulletin board,게시판
A common point or a common feature,공통점
Extracurricular work,과외
Inside the school,교내
Ward or district,구15
Friday,금요일
Roll of rice and vegetables,김밥
Internal,내적
Playground,놀이터
Drop in for a short visit,다녀가다
An answer,답장
Marathon,마라톤
Mass communication,매스컴
"nothing,nil",무
Stay overnight s.w.,묵다
Banana,바나나
The instep of the foot,발등
All night,밤새
A particular thing,별일
받다 receive,보내오다
"A debt,liabilities",부채
Buddhism,불법
Blouse,블라우스
Businessman,사업가
Be on good terms with,사이좋다
In the world,세상에
"toil,labor,pains",수고
Wednesday,수요일
"sorrow,feel sad",슬퍼하다
Spinach,시금치
"Application, application form",신청서
Garbage can,쓰레기통
Subordinate,아랫사람
"The front, the fore part",앞쪽
Album,앨범
"A sheep, ram",양
"Be unchanged, the same as before",여전하다
The southeastern part of Korea,영남
On the roof,옥상
The right foot,왼발
To drive,운전하다
The stomach,위
The weather,일기
"A job, position",일자리
Sisters,자매
"Last time, the other day",저번
An exhibition hall,전시장
"thrift,savings,economy",절약
The right answer,정답
Noon,정오
Be discharged from the military,제대하다
"doze,take a nap",졸다
"instantly,impromptu",즉석
"Fat, grease, lard",지방
Gradually,차차
"Guess, conjecture",추측
"Advice, counsel, suggestion",충고
A nose bleed,코피
"Reason, grounds",턱
"Facximile, fax",팩시밀리
